depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,10,0.959233,0.959247,0.959247,0.659436,0.659436,0.659436
1,2,20,0.959171,0.959234,0.959247,0.164805,0.165545,0.165712
2,4,40,0.958992,0.959145,0.959196,0.0409907,0.0415515,0.0417533
3,8,80,0.481328,0.959088,0.959158,0.0102673,0.0105428,0.0105589
4,16,160,0.480147,0.958841,0.959139,0.00255308,0.00264543,0.00265549
5,32,320,0.478885,0.485227,0.491494,0.000639014,0.000676347,0.000689178
6,64,640,0.477259,0.484326,0.490775,0.000157367,0.000171127,0.0001756
7,128,1280,0.471439,0.483,0.490775,3.81918e-05,4.2792e-05,4.74597e-05
8,256,2560,0.245901,0.479603,0.489309,9.01103e-06,1.07393e-05,1.25581e-05
9,512,5120,0.238293,0.470818,0.486323,2.0307e-06,2.65237e-06,3.29866e-06
10,1024,10240,0.230068,0.249471,0.275256,4.10882e-07,6.16031e-07,8.13899e-07
11,2048,20480,0.214675,0.242609,0.268871,6.43525e-08,1.18691e-07,1.91203e-07
12,4096,40960,0.172314,0.228189,0.257426,5.71287e-09,1.56445e-08,3.44807e-08
13,8192,81920,0.100446,0.193619,0.239908,1.12453e-10,7.93563e-10,2.89304e-09
14,16384,163840,0.039019,0.105285,0.189393,1.20185e-15,4.54642e-13,2.01591e-11
15,17233,172330,0,0,0,0,0,0
