depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,4,0.99651,0.997774,0.998257,0.987467,0.987467,0.987467
1,2,8,0.76245,0.996984,0.998164,0.255619,0.259682,0.260596
2,4,16,0.501542,0.533587,0.544282,0.0669835,0.0696907,0.0703964
3,8,32,0.395131,0.527966,0.543651,0.0167439,0.0200987,0.0208254
4,16,64,0.255,0.279859,0.295563,0.00456348,0.00523385,0.00614049
5,32,128,0.213006,0.269427,0.28832,0.00124365,0.00155664,0.00175753
6,64,256,0.132679,0.154022,0.173051,0.000332041,0.000423395,0.000491125
7,128,512,0.113549,0.143586,0.163925,9.35773e-05,0.000120265,0.000174988
8,256,1024,0.0691064,0.0860498,0.104765,2.497e-05,3.50278e-05,4.65764e-05
9,512,2048,0.0576151,0.0756227,0.0920144,6.95544e-06,1.13507e-05,1.54326e-05
10,1024,4096,0.0356806,0.0489319,0.063691,1.79371e-06,2.99613e-06,4.51899e-06
11,2048,8192,0.0274949,0.0397083,0.0557738,4.53317e-07,8.57305e-07,1.54501e-06
12,4096,16384,0.0169481,0.0260401,0.0390411,8.55467e-08,1.97363e-07,4.05674e-07
13,8192,32768,0.0103039,0.0187761,0.0308797,9.66466e-09,3.57936e-08,9.47406e-08
14,16384,65536,0.00329164,0.00957884,0.0193561,6.20798e-11,1.20577e-09,7.2866e-09
15,17233,68932,0,0,0,0,0,0
