group_size,count
1,1
2,3
3,4
4,5
5,10
6,8
7,13
8,14
9,17
10,16
11,22
12,18
13,16
14,28
15,27
16,25
17,19
18,33
19,44
20,35
21,47
22,43
23,48
24,47
25,68
26,43
27,62
28,55
29,61
30,69
31,56
32,83
33,88
34,91
35,87
36,97
37,80
38,88
39,89
40,108
41,95
42,112
43,80
44,128
45,130
46,113
47,104
48,117
49,130
50,103
51,128
52,113
53,140
54,131
55,120
56,141
57,137
58,147
59,142
60,168
61,138
62,158
63,143
64,161
65,150
66,173
67,175
68,163
69,156
70,151
71,177
72,161
73,154
74,146
75,167
76,159
77,160
78,177
79,153
80,147
81,164
82,146
83,143
84,173
85,164
86,152
87,162
88,188
89,165
90,188
91,151
92,165
93,168
94,157
95,164
96,167
97,161
98,157
99,185
100,174
101,169
102,181
103,158
104,177
105,162
106,161
107,167
108,149
109,145
110,151
111,160
112,168
113,143
114,147
115,144
116,147
117,132
118,134
119,173
120,128
121,170
122,147
123,121
124,132
125,144
126,138
127,120
128,141
129,123
130,126
131,121
132,119
133,126
134,112
135,106
136,117
137,123
138,98
139,114
140,108
141,98
142,79
143,109
144,101
145,107
146,80
147,93
148,85
149,86
150,83
151,70
152,78
153,81
154,78
155,102
156,66
157,79
158,58
159,58
160,53
161,73
162,63
163,57
164,45
165,47
166,51
167,51
168,51
169,40
170,46
171,47
172,51
173,36
174,44
175,41
176,41
177,36
178,34
179,42
180,26
181,47
182,33
183,46
184,31
185,41
186,33
187,25
188,23
189,32
190,18
191,34
192,23
193,35
194,28
195,18
196,23
197,29
198,15
199,24
200,24
201,15
202,16
203,16
204,8
205,22
206,14
207,15
208,14
209,9
210,15
211,14
212,10
213,16
214,13
215,6
216,13
217,12
218,13
219,5
220,9
221,5
222,18
223,12
224,10
225,6
226,11
227,8
228,10
229,2
230,5
231,10
232,4
233,4
234,6
235,9
236,3
237,4
238,7
239,5
240,7
241,2
242,2
243,5
244,4
245,4
246,4
247,3
248,4
249,3
250,5
252,4
253,2
254,1
255,3
256,5
257,1
258,1
259,5
261,1
262,1
263,1
264,2
265,1
267,3
268,1
269,3
270,1
271,3
273,1
274,2
276,2
277,1
278,1
279,2
280,2
281,1
283,1
285,1
286,1
287,1
288,1
289,1
290,1
291,3
294,1
295,1
297,1
298,1
299,1
300,3
301,1
303,2
306,1
309,1
310,1
311,1
313,1
314,1
320,1
322,1
328,1
329,1
330,1
338,1
339,1
343,1
366,1
370,1
386,1
387,1
412,1
