group_size,count
8,1
11,1
17,2
18,2
19,3
21,1
22,1
23,1
24,2
25,2
26,3
27,2
28,4
29,5
30,7
31,9
32,4
33,2
34,4
35,2
36,5
37,5
38,9
39,7
40,6
41,9
42,7
43,4
44,13
45,9
46,11
47,14
48,8
49,6
50,14
51,8
52,14
53,19
54,13
55,5
56,13
57,19
58,16
59,14
60,16
61,6
62,20
63,18
64,22
65,11
66,10
67,18
68,18
69,14
70,17
71,18
72,19
73,17
74,22
75,23
76,16
77,20
78,21
79,18
80,22
81,18
82,11
83,21
84,26
85,21
86,18
87,21
88,18
89,18
90,20
91,18
92,23
93,18
94,22
95,19
96,28
97,20
98,24
99,21
100,23
101,17
102,19
103,27
104,18
105,17
106,19
107,16
108,18
109,22
110,12
111,19
112,18
113,18
114,12
115,14
116,13
117,16
118,24
119,21
120,19
121,24
122,15
123,14
124,17
125,11
126,20
127,11
128,12
129,14
130,11
131,14
132,14
133,14
134,13
135,11
136,12
137,12
138,6
139,10
140,7
141,13
142,7
143,4
144,14
145,11
146,9
147,10
148,9
149,14
150,7
151,10
152,7
153,9
154,5
155,13
156,8
157,9
158,5
159,7
160,6
161,4
162,3
163,7
164,3
165,2
166,6
167,1
168,3
169,5
170,2
171,1
172,3
173,4
174,2
175,3
176,3
177,4
178,3
179,2
180,5
181,2
182,2
184,3
185,2
186,1
187,2
188,2
189,1
190,1
191,1
192,2
193,1
194,2
196,1
200,2
201,1
204,2
206,1
207,1
208,1
209,1
211,3
212,1
213,2
214,1
215,1
216,1
218,1
222,1
223,1
226,1
227,1
229,1
230,2
234,1
235,1
267,1
271,1
280,1
343,1
441,1
