depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,6,0.96679,0.979203,0.984508,0.824469,0.824469,0.824469
1,2,12,0.960704,0.972741,0.983768,0.301112,0.356568,0.369046
2,4,24,0.647101,0.957888,0.968534,0.0898611,0.126285,0.138132
3,8,48,0.514123,0.797685,0.956836,0.0252139,0.0411123,0.0522592
4,16,96,0.470912,0.701808,0.934379,0.00813466,0.0181894,0.0254514
5,32,192,0.385818,0.528804,0.797178,0.00207821,0.00443443,0.0119547
6,64,384,0.27493,0.416505,0.54706,0.000538769,0.00132176,0.00312652
7,128,768,0.226688,0.334455,0.503047,9.17749e-05,0.000276233,0.000650314
8,256,1536,0.149678,0.258211,0.406379,9.45746e-06,3.48817e-05,0.000104177
9,512,3072,0.0721094,0.159324,0.287858,7.59798e-08,9.30164e-07,5.34144e-06
10,977,5862,0,0,0,0,0,0
