depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,6,0.992079,0.992096,0.992096,0.953419,0.953419,0.953419
1,2,12,0.992034,0.992078,0.992079,0.238334,0.241432,0.242129
2,4,24,0.498456,0.991994,0.992,0.0594421,0.060607,0.0607326
3,8,48,0.495774,0.500013,0.503791,0.0148612,0.0153556,0.0156232
4,16,96,0.49391,0.499293,0.503732,0.00372336,0.00386493,0.00401028
5,32,192,0.250917,0.498813,0.503669,0.000917927,0.000988621,0.00104362
6,64,384,0.247528,0.253548,0.260071,0.000227911,0.00024982,0.00028417
7,128,768,0.243478,0.252028,0.260183,5.63887e-05,6.38063e-05,7.31696e-05
8,256,1536,0.126618,0.248345,0.259201,1.35827e-05,1.64361e-05,1.82625e-05
9,512,3072,0.121285,0.130133,0.139572,3.15858e-06,4.12894e-06,5.10073e-06
10,1024,6144,0.113395,0.127488,0.13825,6.93578e-07,1.02227e-06,1.34579e-06
11,2048,12288,0.062431,0.11966,0.133881,1.32275e-07,2.30991e-07,3.61694e-07
12,4096,24576,0.0518191,0.0653121,0.0788239,1.77707e-08,4.34181e-08,8.04869e-08
13,8192,49152,0.0338555,0.0562008,0.0724718,9.80142e-10,4.72161e-09,1.29203e-08
14,16384,98304,0.0106488,0.0319567,0.0568078,6.54077e-13,4.67627e-11,6.00006e-10
15,17233,103398,0,0,0,0,0,0
