depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,6,0.997856,0.998131,0.998173,0.986956,0.986956,0.986956
1,2,12,0.997181,0.997805,0.998137,0.256677,0.261899,0.263074
2,4,24,0.513905,0.996986,0.997702,0.0661385,0.0711347,0.0726797
3,8,48,0.50162,0.530009,0.568892,0.0169685,0.0187104,0.019059
4,16,96,0.497564,0.517287,0.566481,0.00437895,0.00496876,0.00570719
5,32,192,0.26537,0.506598,0.526259,0.00110735,0.00129765,0.00152736
6,64,384,0.253696,0.27046,0.287591,0.000276739,0.000320735,0.000381893
7,128,768,0.247772,0.260844,0.282966,7.13049e-05,8.72992e-05,0.000101041
8,256,1536,0.134678,0.253717,0.268998,1.7557e-05,2.17458e-05,2.68265e-05
9,512,3072,0.125438,0.138559,0.156268,4.05947e-06,5.35165e-06,6.60692e-06
10,1024,6144,0.11562,0.131856,0.147338,9.17492e-07,1.35363e-06,1.85742e-06
11,2048,12288,0.0662596,0.121487,0.137803,1.68145e-07,2.99586e-07,4.67126e-07
12,4096,24576,0.0536021,0.0683407,0.0851014,2.22796e-08,5.26533e-08,1.02942e-07
13,8192,49152,0.035043,0.0574923,0.0754704,1.22506e-09,5.83742e-09,1.77455e-08
14,16384,98304,0.0114648,0.0329667,0.0582692,7.68743e-13,5.02575e-11,6.58194e-10
15,17233,103398,0,0,0,0,0,0
