depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,4,0.989965,0.98997,0.98997,0.96046,0.96046,0.96046
1,2,8,0.743702,0.989939,0.989939,0.240009,0.242147,0.242628
2,4,16,0.494957,0.501478,0.505323,0.0606645,0.0615438,0.0618315
3,8,32,0.366806,0.504203,0.505323,0.0151322,0.015406,0.0155625
4,16,64,0.247516,0.251642,0.259841,0.00374746,0.00389849,0.00403368
5,32,128,0.182735,0.251613,0.259628,0.000932651,0.000991037,0.00102855
6,64,256,0.123343,0.12709,0.130947,0.000232524,0.000249706,0.000266401
7,128,512,0.0923056,0.126271,0.130531,5.72776e-05,6.46577e-05,7.36846e-05
8,256,1024,0.0610769,0.0649988,0.0687061,1.40421e-05,1.66498e-05,1.90813e-05
9,512,2048,0.044001,0.0634481,0.0674507,3.33217e-06,4.21819e-06,5.12858e-06
10,1024,4096,0.029599,0.0335717,0.0369809,7.72425e-07,1.09301e-06,1.46934e-06
11,2048,8192,0.0202013,0.0314349,0.0359281,1.59605e-07,2.67987e-07,3.93934e-07
12,4096,16384,0.0128094,0.0169099,0.0209147,2.60696e-08,6.00336e-08,1.06603e-07
13,8192,32768,0.00708491,0.0135682,0.0188152,2.33506e-09,9.47069e-09,2.4067e-08
14,16384,65536,0.00208451,0.00582191,0.00976123,1.24462e-11,3.58392e-10,2.57069e-09
15,17233,68932,0,0,0,0,0,0
