depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,4,0.963368,0.963636,0.963636,0.861328,0.861328,0.861328
1,2,8,0.728568,0.963636,0.963636,0.212318,0.22714,0.230474
2,4,16,0.471087,0.507869,0.511674,0.0516504,0.0584905,0.060161
3,8,32,0.342757,0.502974,0.510042,0.0121639,0.014487,0.0148668
4,16,64,0.229828,0.253258,0.273341,0.00287823,0.00376811,0.00396871
5,32,128,0.145038,0.252045,0.265323,0.000554668,0.00104839,0.00123887
6,64,256,0.0893479,0.127182,0.180651,5.63062e-05,0.000195706,0.000388044
7,128,512,0.0364121,0.0883969,0.139418,1.94884e-06,1.91663e-05,5.19441e-05
8,245,980,0,0,0,0,0,0
