run_id,group_size,count
correctness_d2_N500_a1_t20000_F0_rep0,12,2
correctness_d2_N500_a1_t20000_F0_rep0,13,7
correctness_d2_N500_a1_t20000_F0_rep0,14,8
correctness_d2_N500_a1_t20000_F0_rep0,15,4
correctness_d2_N500_a1_t20000_F0_rep0,16,9
correctness_d2_N500_a1_t20000_F0_rep0,17,8
correctness_d2_N500_a1_t20000_F0_rep0,18,11
correctness_d2_N500_a1_t20000_F0_rep0,19,10
correctness_d2_N500_a1_t20000_F0_rep0,20,10
correctness_d2_N500_a1_t20000_F0_rep0,21,9
correctness_d2_N500_a1_t20000_F0_rep0,22,11
correctness_d2_N500_a1_t20000_F0_rep0,23,6
correctness_d2_N500_a1_t20000_F0_rep0,24,9
correctness_d2_N500_a1_t20000_F0_rep0,25,5
correctness_d2_N500_a1_t20000_F0_rep0,26,6
correctness_d2_N500_a1_t20000_F0_rep0,27,2
correctness_d2_N500_a1_t20000_F0_rep0,28,3
correctness_d2_N500_a1_t20000_F0_rep0,30,8
correctness_d2_N500_a1_t20000_F0_rep0,31,5
correctness_d2_N500_a1_t20000_F0_rep0,32,6
correctness_d2_N500_a1_t20000_F0_rep0,33,4
correctness_d2_N500_a1_t20000_F0_rep0,34,2
correctness_d2_N500_a1_t20000_F0_rep0,35,11
correctness_d2_N500_a1_t20000_F0_rep0,36,3
correctness_d2_N500_a1_t20000_F0_rep0,37,10
correctness_d2_N500_a1_t20000_F0_rep0,38,8
correctness_d2_N500_a1_t20000_F0_rep0,39,12
correctness_d2_N500_a1_t20000_F0_rep0,40,7
correctness_d2_N500_a1_t20000_F0_rep0,41,8
correctness_d2_N500_a1_t20000_F0_rep0,42,12
correctness_d2_N500_a1_t20000_F0_rep0,43,11
correctness_d2_N500_a1_t20000_F0_rep0,44,7
correctness_d2_N500_a1_t20000_F0_rep0,45,7
correctness_d2_N500_a1_t20000_F0_rep0,46,6
correctness_d2_N500_a1_t20000_F0_rep0,47,6
correctness_d2_N500_a1_t20000_F0_rep0,48,2
correctness_d2_N500_a1_t20000_F0_rep0,49,5
correctness_d2_N500_a1_t20000_F0_rep0,50,5
correctness_d2_N500_a1_t20000_F0_rep0,51,4
correctness_d2_N500_a1_t20000_F0_rep0,52,11
correctness_d2_N500_a1_t20000_F0_rep0,53,5
correctness_d2_N500_a1_t20000_F0_rep0,54,5
correctness_d2_N500_a1_t20000_F0_rep0,55,4
correctness_d2_N500_a1_t20000_F0_rep0,56,8
correctness_d2_N500_a1_t20000_F0_rep0,57,6
correctness_d2_N500_a1_t20000_F0_rep0,58,2
correctness_d2_N500_a1_t20000_F0_rep0,59,5
correctness_d2_N500_a1_t20000_F0_rep0,60,6
correctness_d2_N500_a1_t20000_F0_rep0,62,3
correctness_d2_N500_a1_t20000_F0_rep0,63,7
correctness_d2_N500_a1_t20000_F0_rep0,64,4
correctness_d2_N500_a1_t20000_F0_rep0,65,2
correctness_d2_N500_a1_t20000_F0_rep0,66,4
correctness_d2_N500_a1_t20000_F0_rep0,67,1
correctness_d2_N500_a1_t20000_F0_rep0,68,5
correctness_d2_N500_a1_t20000_F0_rep0,69,4
correctness_d2_N500_a1_t20000_F0_rep0,70,3
correctness_d2_N500_a1_t20000_F0_rep0,71,3
correctness_d2_N500_a1_t20000_F0_rep0,72,1
correctness_d2_N500_a1_t20000_F0_rep0,73,2
correctness_d2_N500_a1_t20000_F0_rep0,74,4
correctness_d2_N500_a1_t20000_F0_rep0,75,1
correctness_d2_N500_a1_t20000_F0_rep0,76,4
correctness_d2_N500_a1_t20000_F0_rep0,77,2
correctness_d2_N500_a1_t20000_F0_rep0,78,4
correctness_d2_N500_a1_t20000_F0_rep0,79,2
correctness_d2_N500_a1_t20000_F0_rep0,81,4
correctness_d2_N500_a1_t20000_F0_rep0,82,4
correctness_d2_N500_a1_t20000_F0_rep0,83,3
correctness_d2_N500_a1_t20000_F0_rep0,84,3
correctness_d2_N500_a1_t20000_F0_rep0,86,5
correctness_d2_N500_a1_t20000_F0_rep0,87,1
correctness_d2_N500_a1_t20000_F0_rep0,89,1
correctness_d2_N500_a1_t20000_F0_rep0,90,3
correctness_d2_N500_a1_t20000_F0_rep0,92,2
correctness_d2_N500_a1_t20000_F0_rep0,93,2
correctness_d2_N500_a1_t20000_F0_rep0,95,1
correctness_d2_N500_a1_t20000_F0_rep0,96,1
correctness_d2_N500_a1_t20000_F0_rep0,98,1
correctness_d2_N500_a1_t20000_F0_rep0,99,2
correctness_d2_N500_a1_t20000_F0_rep0,103,1
correctness_d2_N500_a1_t20000_F0_rep0,104,1
correctness_d2_N500_a1_t20000_F0_rep0,105,1
correctness_d2_N500_a1_t20000_F0_rep0,106,1
correctness_d2_N500_a1_t20000_F0_rep0,107,3
correctness_d2_N500_a1_t20000_F0_rep0,110,1
correctness_d2_N500_a1_t20000_F0_rep0,119,1
correctness_d2_N500_a1_t20000_F0_rep0,127,1
correctness_d2_N500_a1_t20000_F0_rep0,133,1
correctness_d2_N500_a1_t20000_F0_rep0,139,2
correctness_d2_N500_a1_t20000_F0_rep0,143,1
correctness_d2_N500_a1_t20000_F0_rep0,147,1
correctness_d2_N500_a1_t20000_F0_rep0,158,1
density_d3_N2000_a10_t20000_F1_rep0,1,17
density_d3_N2000_a10_t20000_F1_rep0,2,47
density_d3_N2000_a10_t20000_F1_rep0,3,63
density_d3_N2000_a10_t20000_F1_rep0,4,100
density_d3_N2000_a10_t20000_F1_rep0,5,133
density_d3_N2000_a10_t20000_F1_rep0,6,143
density_d3_N2000_a10_t20000_F1_rep0,7,155
density_d3_N2000_a10_t20000_F1_rep0,8,167
density_d3_N2000_a10_t20000_F1_rep0,9,152
density_d3_N2000_a10_t20000_F1_rep0,10,172
density_d3_N2000_a10_t20000_F1_rep0,11,159
density_d3_N2000_a10_t20000_F1_rep0,12,131
density_d3_N2000_a10_t20000_F1_rep0,13,123
density_d3_N2000_a10_t20000_F1_rep0,14,84
