group_size,count
3,1
7,1
9,2
12,2
13,2
14,2
15,3
16,2
18,2
19,3
20,1
23,3
24,3
25,7
26,2
27,5
28,4
29,4
30,5
31,10
32,7
33,4
34,6
35,3
36,8
37,9
38,6
39,5
40,7
41,7
42,8
43,7
44,2
45,5
46,13
47,9
48,14
49,14
50,12
51,12
52,21
53,13
54,11
55,13
56,18
57,19
58,12
59,10
60,21
61,16
62,17
63,11
64,18
65,12
66,15
67,23
68,9
69,9
70,13
71,17
72,19
73,16
74,14
75,16
76,14
77,15
78,13
79,9
80,15
81,17
82,18
83,26
84,18
85,24
86,13
87,16
88,24
89,18
90,20
91,17
92,23
93,25
94,18
95,23
96,20
97,17
98,23
99,24
100,23
101,17
102,21
103,17
104,16
105,20
106,17
107,17
108,14
109,24
110,10
111,15
112,14
113,23
114,16
115,13
116,12
117,12
118,19
119,20
120,14
121,12
122,16
123,14
124,12
125,16
126,12
127,23
128,18
129,16
130,10
131,8
132,13
133,18
134,17
135,8
136,15
137,13
138,16
139,14
140,8
141,12
142,12
143,8
144,11
145,7
146,15
147,9
148,11
149,15
150,10
151,6
152,9
153,12
154,13
155,8
156,3
157,11
158,11
159,7
160,4
161,7
162,8
163,6
164,4
165,6
166,3
167,4
168,2
169,5
170,7
171,4
172,2
173,3
174,2
175,6
176,4
177,5
178,2
179,2
180,6
181,1
182,2
183,3
184,3
185,3
186,3
187,2
190,1
191,3
192,3
193,1
194,4
195,1
196,1
198,1
199,1
202,2
203,1
204,1
205,1
206,2
209,1
210,1
214,3
215,2
216,1
217,1
222,1
