depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,10,0.929602,0.949154,0.952235,0.486345,0.486345,0.486345
1,2,20,0.911659,0.944663,0.951855,0.173621,0.188854,0.192281
2,4,40,0.889953,0.930967,0.951094,0.0587576,0.05937,0.0594184
3,8,80,0.843677,0.912164,0.949573,0.0177818,0.0203192,0.0213943
4,16,160,0.594281,0.900164,0.938041,0.00546867,0.00667299,0.0071243
5,32,320,0.544231,0.87035,0.928576,0.00163329,0.00207079,0.00238489
6,64,640,0.486805,0.826673,0.905801,0.000453194,0.000699326,0.000887891
7,128,1280,0.397687,0.705872,0.869439,7.49125e-05,0.000140824,0.000272239
8,256,2560,0.286218,0.507152,0.774685,4.22517e-06,1.55536e-05,4.0331e-05
9,512,5120,0.169389,0.351192,0.570933,8.25676e-09,1.19198e-07,1.2618e-06
10,977,9770,0,0,0,0,0,0
