depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,10,0.959235,0.959246,0.959246,0.659539,0.659539,0.659539
1,2,20,0.95916,0.959236,0.959238,0.164778,0.164965,0.165007
2,4,40,0.959055,0.959206,0.95922,0.0411222,0.0415646,0.0416843
3,8,80,0.482113,0.959151,0.959211,0.0101891,0.0105935,0.0106406
4,16,160,0.479832,0.958825,0.959106,0.0025821,0.00270655,0.00272219
5,32,320,0.479082,0.485234,0.496802,0.000645079,0.000670766,0.000697703
6,64,640,0.476465,0.484585,0.496618,0.000157247,0.000171492,0.000185481
7,128,1280,0.470486,0.484009,0.495593,3.83758e-05,4.28483e-05,4.73902e-05
8,256,2560,0.24571,0.480572,0.49383,9.05278e-06,1.09e-05,1.25205e-05
9,512,5120,0.238199,0.470389,0.48518,2.0359e-06,2.63702e-06,3.0945e-06
10,1024,10240,0.230112,0.248195,0.269787,4.10774e-07,5.94002e-07,7.66658e-07
11,2048,20480,0.215014,0.241539,0.262902,6.44221e-08,1.14384e-07,1.77729e-07
12,4096,40960,0.172959,0.22796,0.253643,5.90394e-09,1.58297e-08,3.16893e-08
13,8192,81920,0.10059,0.195037,0.239499,1.15882e-10,8.13168e-10,3.00823e-09
14,16384,163840,0.0390048,0.104692,0.190857,1.29296e-15,4.69125e-13,1.80914e-11
15,17233,172330,0,0,0,0,0,0
