depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,4,0.984068,0.984141,0.984141,0.937779,0.937779,0.937779
1,2,8,0.738025,0.984104,0.984104,0.234374,0.234392,0.234396
2,4,16,0.491857,0.497589,0.499695,0.0585725,0.0600961,0.0603647
3,8,32,0.368247,0.498826,0.499537,0.0148555,0.0150676,0.015072
4,16,64,0.24599,0.251302,0.252051,0.00367281,0.00384909,0.00394091
5,32,128,0.182135,0.249693,0.251472,0.000893583,0.00100585,0.00106087
6,64,256,0.122538,0.127685,0.130018,0.000225169,0.000254869,0.000283294
7,128,512,0.0895603,0.126243,0.129709,5.3862e-05,6.71634e-05,7.81606e-05
8,256,1024,0.0602131,0.0661048,0.0711908,1.30779e-05,1.69895e-05,2.14206e-05
9,512,2048,0.0415083,0.0630214,0.0702807,2.88115e-06,4.22475e-06,5.81328e-06
10,1024,4096,0.0274705,0.0338923,0.0394856,5.65327e-07,1.01822e-06,1.55498e-06
11,2048,8192,0.0171073,0.0293783,0.0369925,7.98827e-08,2.06834e-07,3.84742e-07
12,4096,16384,0.00852351,0.0149388,0.0212458,4.76688e-09,2.65493e-08,7.95811e-08
13,8192,32768,0,0.00635108,0.0143109,0,4.93097e-10,6.68595e-09
14,3617,14468,0,0,0,0,0,0
