depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,6,0.983062,0.983082,0.983082,0.902587,0.902587,0.902587
1,2,12,0.98298,0.983079,0.983082,0.225593,0.227297,0.22768
2,4,24,0.493727,0.983028,0.983062,0.0569101,0.0570847,0.0571063
3,8,48,0.491469,0.497056,0.499175,0.0140398,0.0146569,0.0146969
4,16,96,0.488025,0.497024,0.498804,0.00351047,0.00366928,0.00371824
5,32,192,0.247794,0.492027,0.498741,0.000886414,0.000919967,0.000943347
6,64,384,0.244862,0.250041,0.257145,0.00021688,0.000236935,0.000245276
7,128,768,0.240804,0.249538,0.257076,5.3632e-05,6.10328e-05,6.4448e-05
8,256,1536,0.125294,0.246502,0.256685,1.29262e-05,1.56669e-05,1.76082e-05
9,512,3072,0.120583,0.129193,0.139539,3.02809e-06,3.94505e-06,4.66848e-06
10,1024,6144,0.112371,0.126316,0.136525,6.64269e-07,9.60488e-07,1.19208e-06
11,2048,12288,0.0617913,0.118945,0.132629,1.24385e-07,2.15282e-07,3.29729e-07
12,4096,24576,0.0513904,0.0643586,0.0775294,1.69921e-08,3.98686e-08,7.17536e-08
13,8192,49152,0.0333684,0.0552943,0.0707851,9.14181e-10,4.25244e-09,1.32147e-08
14,16384,98304,0.0105539,0.0313399,0.0558524,5.95294e-13,4.49769e-11,5.56905e-10
15,17233,103398,0,0,0,0,0,0
