group_size,count
1,193
2,285
3,405
4,565
5,782
6,953
7,1089
8,1302
9,1431
10,1565
11,1734
12,1811
13,1898
14,1954
15,2011
16,1988
17,2024
18,2022
19,2033
20,1934
21,1881
22,1917
23,1688
24,1623
25,1592
26,1420
27,1337
28,1166
29,1164
30,997
31,908
32,794
33,722
34,607
35,539
36,513
37,428
38,339
39,309
40,280
41,245
42,205
43,196
44,157
45,134
46,100
47,105
48,74
49,86
50,78
51,54
52,46
53,30
54,33
55,29
56,19
57,20
58,14
59,10
60,7
61,13
62,11
63,7
64,8
65,3
66,9
67,6
68,5
69,1
70,2
71,2
72,4
73,3
75,2
76,1
79,1
80,1
82,1
95,1
