depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,10,0.983277,0.985087,0.985594,0.842355,0.842355,0.842355
1,2,20,0.981138,0.984906,0.985531,0.313778,0.367842,0.380006
2,4,40,0.976768,0.984842,0.985406,0.110043,0.1529,0.168502
3,8,80,0.970371,0.981072,0.984921,0.0407767,0.0579214,0.0741004
4,16,160,0.540558,0.977779,0.983987,0.0140885,0.0221408,0.03194
5,32,320,0.531792,0.968125,0.979109,0.00514834,0.00893963,0.0118128
6,64,640,0.524613,0.945813,0.975818,0.00156378,0.00405465,0.00625143
7,128,1280,0.50688,0.871782,0.965003,0.000482685,0.00129672,0.00274101
8,256,2560,0.436607,0.663478,0.946105,0.000156526,0.000450859,0.00121262
9,512,5120,0.325733,0.540599,0.864331,4.06323e-05,0.000121247,0.000285258
10,1024,10240,0.289655,0.462946,0.633063,8.1684e-06,2.37676e-05,5.99194e-05
11,2048,20480,0.261777,0.406017,0.59409,1.26384e-06,3.94347e-06,1.01693e-05
12,4096,40960,0.210184,0.326147,0.519773,1.08024e-07,3.93314e-07,1.23867e-06
13,8192,81920,0.138688,0.251648,0.429741,1.93672e-09,1.34296e-08,6.16946e-08
14,16384,163840,0.0532227,0.15099,0.292612,2.45791e-14,3.81058e-12,1.74729e-10
15,17233,172330,0,0,0,0,0,0
