depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,8,0.960412,0.968785,0.976791,0.705301,0.705301,0.705301
1,2,16,0.940558,0.963075,0.97577,0.246631,0.261315,0.264619
2,4,32,0.923448,0.954076,0.973313,0.0889615,0.0993917,0.102455
3,8,64,0.557921,0.940754,0.96252,0.0297001,0.0338391,0.0381471
4,16,128,0.527315,0.911651,0.951562,0.00933117,0.0125873,0.0131849
5,32,256,0.48362,0.791998,0.922018,0.00239929,0.00421269,0.00639933
6,64,512,0.393356,0.62382,0.906918,0.000529385,0.00120868,0.00203027
7,128,1024,0.30556,0.482254,0.738588,8.69869e-05,0.000218616,0.00037201
8,256,2048,0.22066,0.343001,0.516172,5.0835e-06,1.99288e-05,6.08387e-05
9,512,4096,0.123448,0.249554,0.42377,2.22302e-08,3.43294e-07,2.1145e-06
10,977,7816,0,0,0,0,0,0
