group_size,count
2,3
3,5
4,10
5,9
6,10
7,9
8,15
9,15
10,14
11,16
12,16
13,18
14,27
15,23
16,35
17,33
18,33
19,51
20,34
21,41
22,57
23,46
24,61
25,43
26,62
27,65
28,63
29,73
30,101
31,67
32,88
33,88
34,66
35,80
36,77
37,102
38,100
39,102
40,93
41,100
42,100
43,103
44,119
45,111
46,104
47,99
48,117
49,126
50,115
51,131
52,146
53,128
54,134
55,140
56,126
57,157
58,146
59,125
60,148
61,160
62,136
63,143
64,141
65,168
66,147
67,148
68,156
69,146
70,166
71,167
72,162
73,157
74,145
75,171
76,179
77,163
78,159
79,159
80,146
81,177
82,175
83,173
84,168
85,153
86,171
87,166
88,171
89,160
90,163
91,150
92,167
93,131
94,153
95,155
96,150
97,153
98,162
99,173
100,155
101,176
102,164
103,179
104,165
105,155
106,164
107,161
108,148
109,170
110,157
111,160
112,150
113,169
114,149
115,157
116,173
117,149
118,136
119,144
120,151
121,153
122,144
123,127
124,138
125,133
126,126
127,132
128,133
129,131
130,119
131,120
132,119
133,127
134,107
135,128
136,101
137,104
138,89
139,115
140,86
141,99
142,90
143,86
144,101
145,75
146,87
147,83
148,86
149,86
150,85
151,81
152,88
153,81
154,83
155,66
156,73
157,54
158,67
159,57
160,56
161,62
162,55
163,52
164,61
165,42
166,70
167,59
168,53
169,46
170,51
171,44
172,46
173,53
174,48
175,46
176,35
177,53
178,37
179,38
180,39
181,38
182,41
183,30
184,36
185,34
186,32
187,30
188,24
189,28
190,25
191,30
192,29
193,22
194,27
195,29
196,23
197,21
198,18
199,20
200,17
201,18
202,15
203,27
204,16
205,15
206,17
207,13
208,10
209,13
210,19
211,14
212,15
213,19
214,15
215,10
216,10
217,9
218,8
219,10
220,7
221,11
222,10
223,11
224,9
225,10
226,14
227,11
228,10
229,11
230,6
231,15
232,5
233,7
234,6
235,6
236,5
237,3
238,7
239,2
240,2
241,6
242,5
243,3
244,3
245,3
246,8
247,5
248,1
249,3
250,3
251,4
252,3
253,3
254,3
255,2
256,4
257,3
258,4
259,1
260,1
261,1
262,2
263,2
264,4
265,2
266,2
267,4
268,1
269,2
270,2
272,4
273,2
274,4
275,1
277,2
278,1
279,3
280,1
281,2
282,1
284,1
287,1
288,3
289,2
290,1
294,1
295,1
296,1
297,1
299,2
301,1
302,2
303,1
308,1
320,1
323,1
326,1
330,1
336,1
347,1
351,1
367,1
368,1
372,2
